"id","name","drawer","bin"
"09509828","Metformin","A1","01"
"10000001","Albuteral Nebulizer","1","1"
"10000002","Ipratropium Nebulizer","1","2"
"10000003","Advair diskus","1","3"
"10000004","Amlopidine 5 mg","1","4"
"10000005","Amlopidine 10 mg","1","5"
"10000006","Lorazepam IVP","1","6"
"10000007","Lorazepam PO","1","7"
"10000008","Mulitivitamin","1","8"
"10000009","Acetaminophen 325 mg","1","9"
"10000010","ASA 81 mg","1","10"
"10000011","Atorvastatin","1","11"
"10000012","Biscodyl","1","12"
"10000013","Captopril","1","13"
"10000014","Carvedilol 3.125 mg","1","14"
"10000015","Carvedilol 12.5 mg","1","15"
"10000016","Acetaminophen 500 mg","1","16"
"10000017","Diphenhydramine","1","17"
"10000018","Diltiazem 120 mg","1","18"
"10000019","Digoxen 0.25 mg","1","19"
"10000020","Donepezil 10 mg","1","20"
"10000021","Pantoprazole 20 mg","1","21"
"10000022","24% sucrose (Sweet-Ease) Oral Solution 0.5 mL","1","22"
"20000001","Atenolol 50 mg","2","1"
"20000002","Docusate Sodium 50 mg","2","2"
"20000003","Furosemide 20 mg","2","3"
"20000004","Ibuprofen 200 mg","2","4"
"20000005","Lisinopril 5 mg","2","5"
"20000006","Phenytoin 100 mg","2","6"
"20000007","Metoprolol 25 mg","2","7"
"20000008","Lisinopril 10 mg","2","8"
"20000009","Metoprolol 50 mg","2","9"
"20000010","Erythromycin 250 mg","2","10"
"20000011","Iron 65 mg","2","11"
"20000012","Calcium carbonate 500 mg","2","12"
"20000013","Milk of magnesia 2400 mg","2","13"
"20000014","Nicotene patch","2","14"
"20000015","Nitro tabs","2","15"
"20000016","Ondansetron","2","16"
"20000017","Senosides","2","17"
"20000018","Potassium po","2","18"
"20000020","Synthroid 50 mcg","2","20"
"20000021","Losartan 25 mg","2","21"
"20000022","Warfarin 5 mg","2","22"
"20944348","Lisinopril","A1","01"
"30000001","Ketorlac","3","1"
"30000002","Heparin","3","2"
"30000003","Fentanyl","3","3"
"30000004","Oxycodone/Acetaminophen 5/325 mg","3","4"
"30000005","Haloperidol","3","5"
"30000006","Metoprolol IVP","3","6"
"30000007","Oxycodone 5 mg","3","7"
"30000008","Tramadol","3","8"
"30000009","Methylprednisone","3","9"
"30000010","Furosemide","3","10"
"30000011","Morphine sulfate","3","11"
"30000012","Ondansetron IVP","3","12"
"30000013","Diphenhydramine IVP","3","13"
"30000014","Hydropmorphone IVP","3","14"
"30000015","Midalozam IV 2mg/mL","3","15"
"31908432","Acetaminophen","A1","01"
"40000001","Heparin Sodium 25000 in 250","4","1"
"40000002","Cefazolin 1G in 100","4","2"
"40000003","Pipercillin/Tazobactim D5 1/2NS w/ 20K","4","3"
"60329247","Amoxicillin","A1","01"
"95283134","Ibuprofen","A1","01"
